,index,company
0,0,Контур
1,1,DeNet
2,2,Linked Helper
3,3,ООО Евразия Консалтинг
4,4,ООО Газхолд
5,5,Piano
6,6,Парфюмерно-косметический супермаркет Золотое Яблоко
7,7,ООО Волжско-Камский оконный завод
8,8,ООО Информационные Технологии
9,9,ИП Багаманшин Альберт Фаязович
10,10,ООО Инфоматика
11,11,ООО Инфоматика
12,12,ONLINECONTRACT
13,13,"АО ИНКОМСИСТЕМ, НИЦ"
14,14,Контур
15,15,Инсайрес
16,16,ООО АРФА
17,17,ООО Информационные Технологии
18,18,HR ME
19,19,ООО Крофттех
20,20,ИП Зарипов Дмитрий Владимирович
21,21,ООО Гиасофт
22,22,ООО Селект
23,23,"АО ИНКОМСИСТЕМ, НИЦ"
24,24,Центральный банк Российской Федерации (Банк России)
25,25,Cinar
26,26,Франчайзинг5
27,27,АВТОСЕТЬ.РФ
28,28,ООО Мистер Чек 16
29,29,"Воздушные фильтры, компания"
30,30,Мама Жанна
31,31,Данафлекс
32,32,ООО Денвик
33,33,iSpring
34,34,Алабуга. Проектный менеджмент
35,35,ТК Славица
36,36,ELMA
37,37,Контур
38,38,Digital Agency Rubikon
39,39,Алабуга. Политех
40,40,ООО ИНЖИНИРИНГ
41,41,ООО РОСТ ИНТЕК
42,42,ООО ТТК Диджитал
43,43,AYA Group
44,44,ООО Цитадель
45,45,НПК Финист-софт
46,46,IndigoSoft
47,47,АО НПФ ВТБ Пенсионный Фонд
48,48,БАРС Груп
49,49,ООО Совкомбанк Технологии
50,50,ООО Ак Барс Цифровые Технологии
51,51,ООО Норматех
52,52,ИП Ахунзянов Марат Асхатович
53,53,АО Клио-Софт
54,54,Ковалевич Валерия
55,55,ООО Праймфлора
56,56,Центральный банк Российской Федерации (Банк России)
57,57,ООО Техсолв
58,58,Монополия
59,59,ООО 1C-Рарус
60,60,МБ-Ирбис
61,61,ООО Ак таш
62,62,Мегастрой
63,63,Арсан
64,64,АО Атомдата-Иннополис
65,65,Т-Банк. Работа с клиентами
66,66,ООО Лоция
67,67,АВТОСЕТЬ.РФ
68,68,ЕВРАЗ. ИТ-специалисты
69,69,ООО ЦПР
70,70,VS Софт
71,71,ООО Совкомбанк Технологии
72,72,РОСЭЛТОРГ
73,73,Jobers
74,74,Тензор
75,75,Центральный банк Российской Федерации (Банк России)
76,76,IT-компания Навигатор
77,77,Центр информационных технологий Республики Татарстан
78,78,Группа Компаний БРИО
79,79,"Содружество, Группа компаний"
80,80,ООО Униматик
81,81,ГК Innostage
82,82,ООО МНКТ
83,83,"VK, Технический департамент"
84,84,Алабуга. Политех
85,85,Группа ГМС
86,86,ООО 500на700
87,87,Тензор
88,88,ТензоТехСервис
89,89,ИП Прохорченко Дарья Игоревна
90,90,ООО Линсофтверпродакшн
91,91,ООО Совкомбанк Технологии
92,92,Ozon Информационные технологии
93,93,ООО Ракета
94,94,РТ МИС
95,95,IMPERIUM WEB
96,96,IMPERIUM WEB
97,97,ООО Страховая компания «АК БАРС-Мед»
98,98,АО ДКС
99,99,ООО Ракета
100,100,ООО АЗ АТОМ
101,101,Тензор
102,102,ТОО ДиджиталБизФэктори
103,103,Prime Sport
104,104,"АО ИНКОМСИСТЕМ, НИЦ"
105,105,ХОЧУСТУЛ
106,106,ООО Технокап
107,107,Т-Банк. ИТ. Разработка
108,108,Первый Бит
109,109,ООО Элитс
110,110,"Ак Барс Банк, ИТ"
111,111,"Ак Барс Банк, ИТ"
112,112,ООО Мармеладыч
113,113,"ТЕРМЕКС, Группа Компаний"
114,114,ООО Точка Качества
115,115,Контур
116,116,Sofoil LLC
117,117,ИСКОМЭД
118,118,Decart IT-production
119,119,АО Казанский завод синтетического каучука
120,120,ООО Смарт Консалтинг
121,121,НЭТЕР
122,122,ООО Банковские и Финансовые Системы
123,123,ЗАО Научно-исследовательский центр Югранефтегаз
124,124,ООО Цитадель
