,index,skills
0,0,C#
1,1,ASP.NET
2,2,PostgreSQL
3,3,.NET Core
4,4,MongoDB
5,5,RabbitMQ
6,6,Apache Kafka
7,7,Kubernetes
8,8,MS SQL
9,9,Английский язык
10,10,Конференции
11,11,продажи
12,12,Ориентация на результат
13,13,команда
14,14,мировой рынок
15,15,WEB3
16,16,Крипта
17,17,блокчейн
18,18,Blockchain
19,19,Crypto
20,20,TypeScript
21,21,JavaScript
22,22,PostgreSQL
23,23,Node.js
24,24,Английский — B1 — Средний
25,25,PHP
26,26,1С-Битрикс
27,27,REST API
28,28,Bitrix
29,29,Git
30,30,GitHub
31,31,JavaScript
32,32,Java
33,33,Kotlin
34,34,Android SDK
35,35,Kotlin
36,36,ASP.NET Core
37,37,.NET Core
38,38,PostgreSQL
39,39,ASP.NET
40,40,C#
41,41,ASP.NET MVC
42,42,JavaScript
43,43,jQuery
44,44,Ajax
45,45,Bootstrap
46,46,HTML
47,47,CSS
48,48,Git
49,49,Docker
50,50,WMS
51,51,Документооборот
52,52,Архивирование
53,53,Векторная карта
54,54,LINQ
55,55,Golang
56,56,PostgreSQL
57,57,Docker-compose
58,58,Gitlab
59,59,Git
60,60,Docker
61,61,PHP
62,62,MySQL
63,63,Git
64,64,MVC
65,65,Laravel
66,66,JavaScript
67,67,Git
68,68,jQuery
69,69,PHP
70,70,CSS3
71,71,Vue
72,72,Sass
73,73,JavaScript
74,74,Node.js
75,75,Angular
76,76,PHP
77,77,FBD
78,78,CODESYS
79,79,программирование плк
80,80,АСУ ТП
81,81,АСУ
82,82,Siemens
83,83,Нефтегаз
84,84,Modbus
85,85,Проектная документация
86,86,Tia portal
87,87,AlphaPlatform
88,88,Альфа платформа
89,89,Автоматизация технологических процессов
90,90,Prosoft
91,91,SCADA
92,92,Автоматизация производства
93,93,C#
94,94,ASP.NET
95,95,.NET Core
96,96,PostgreSQL
97,97,MongoDB
98,98,RabbitMQ
99,99,Apache Kafka
100,100,Kubernetes
101,101,MS SQL
102,102,React
103,103,TypeScript
104,104,Webpack
105,105,redux|mobx
106,106,Разработка проектной документации
107,107,Проектная документация
108,108,Проектирование
109,109,Знание нормативной документации ГОСТ и СНиП
110,110,Python
111,111,QGIS
112,112,geopandas
113,113,Shapely
114,114,SciPy
115,115,pandas
116,116,геоаналитика
117,117,ArcGIS
118,118,PostGis
