,0
0,https://adsrv.hh.ru/click?b=1527059&place=35&meta=Rt2u2YCjFLoOcZd3QEYxkJPlIccpIuYkEwxIRPEePlZl7ijp3hKjZvdL_5aICvciI1FFZIuyj69hWXVKkEKzWk98oImQvBWbmjRh3cPTUu0SthkLCodjwK8un1Ow3c5Ys7DxzrhD0w6gemuYWNtLnFWOJ7MPxRAUqbLgwqgp3mnd6OpPPZYxARov_na1E1jf20l5mW59XEK24iPFuSzpRjdneBw7dc6KNgxuTV6pwLvLv42nTL0wkvAjEKbsoZoBgDGRYXrp6i8Yp7zyHvK4V62N46JJSU7igC0XaviIQ2OosJLXJyX0P8f7AnqI2oICNk8LkChbo7EXYsM1P3OYQA6MIELKgu6xDnEnca89kFLpDViBVjtCZycPTop5j9OYFbXL9WaGS7cirLAoVwnlqwIlvr1CF0mmBJ77LWTMwcN9dBaeh5xwJZGdHxt5zERS6c4X6Dls5S6x9IaGITyRhkazajUulnKlC24oysyYTLOqVYKXXs1YsnoVWxf3ud5-3HSvDHlAv71_iyfyT1EYEByoVgBOanwpNbRA9HW36pc%3D&clickType=link_to_vacancy
1,https://adsrv.hh.ru/click?b=1567308&place=36&meta=3Cn1xoUANvfRY5FGHFLbhZz9kjA1QQq9ke1I_CXuVonweLjdNqBFCq8k7TkhSXiSwfkZ8xx238B_etclkqe3W8lY_VPaA1SmM_YRQiCEupVCowLtO0G0kut7KxNtyiMnAOPveTaF-Uw1GeZ03_GbRca-STp8CxD7WI2sBG2bJpwY7bvZe6QLZGj6nPlKs4zg8f38KOYDDWbvisazqolvlBNool1OfFFHakSgS53r7pkIqt0cVoHcM8eC7070ELgCnNa6ytIMth4NjWX_GgkdwILz7Sntf7Nz9Sm7OH1Tl7dtqk1quV6Dkq5HLGNeeFV2PvZsL_Kaoq6kxagwzlz4NBKePvzLGNu9xOtseObM8MR--OoiPAOIvAMI1Jsesj7nUtnSrcYNzYSw45-qXveCPyhcwdFhtSqrt8P4E_E-mnucAjrrwDFzlnvGYPdCgn2-8whxtHuZiXUgh8xyP2Lb8mS0LKCdnJoBXVz1QuBVQqDlN8Xuw2-qcKPsV3CRC3zI0BsaQ0vHrYsbuAjmFZ5Bda6_qjWttLZ49Vk4D6tglNM%3D&clickType=link_to_vacancy
2,https://kazan.hh.ru/vacancy/119696806?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
3,https://kazan.hh.ru/vacancy/119508012?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
4,https://kazan.hh.ru/vacancy/119253961?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
5,https://kazan.hh.ru/vacancy/119875749?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
6,https://kazan.hh.ru/vacancy/119267525?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
7,https://kazan.hh.ru/vacancy/119283700?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
8,https://kazan.hh.ru/vacancy/119220556?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
9,https://kazan.hh.ru/vacancy/119219695?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
10,https://kazan.hh.ru/vacancy/120012524?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
11,https://kazan.hh.ru/vacancy/120012497?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
12,https://kazan.hh.ru/vacancy/120057653?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
13,https://kazan.hh.ru/vacancy/79925492?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
14,https://kazan.hh.ru/vacancy/117870911?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
15,https://kazan.hh.ru/vacancy/119819951?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
16,https://kazan.hh.ru/vacancy/119580519?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
17,https://kazan.hh.ru/vacancy/119220342?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
